project,street,postal,year,typeOfSale,propertyType,price_psm,lat,lon
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15454.545454545454,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15454.545454545454,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15833.333333333334,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16190.47619047619,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15454.545454545454,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15819.42857142857,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16578.79069767442,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15648.133333333333,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16607.14285714286,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15750.0,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16627.906976744187,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,17511.627906976744,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16666.666666666668,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15121.212121212122,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,14825.581395348838,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15633.333333333334,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15121.495327102804,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16395.3488372093,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16428.571428571428,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15454.545454545454,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16383.333333333334,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15636.363636363636,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15984.848484848484,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16000.0,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16051.57142857143,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16363.636363636364,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16428.571428571428,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,14787.878787878788,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16627.906976744187,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15826.08695652174,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16250.0,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,17186.04651162791,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16133.333333333334,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,12096.774193548386,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15500.0,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15869.565217391304,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16130.952380952382,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,12500.0,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2023,3,Condominium,16969.696969696968,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15454.545454545454,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15606.060606060606,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2023,3,Condominium,17436.363636363636,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,15151.515151515152,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16875.0,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16666.666666666668,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16696.428571428572,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2023,3,Condominium,16964.285714285714,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,17285.714285714286,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,16212.121212121212,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2022,3,Condominium,17166.666666666668,1.320817692384934,103.7526673092539
PARC RIVIERA,WEST COAST VALE,,2023,3,Condominium,17333.333333333332,1.320817692384934,103.7526673092539
