OBJECTID,BHD
3093,0.0
3094,8.5182
3095,5.1854
3096,0.0
3097,0.0
3099,19.6026
3100,0.0
3101,15.618
3102,10.9097
3103,5.5
3104,7.1913
3105,0.0
3106,15.6828
3107,12.1221
3108,1.9096
3110,2.9166
3111,0.0
3113,1.698
3114,9.3778
3115,3.4778
3116,2.0153
3118,15.8195
3119,2.7119
3121,12.7785
3122,0.0
3124,0.0
3126,0.0
3128,2.7607
3129,0.0
3130,4.5675
3131,2.3147
3132,2.4126
3133,3.2078
3135,2.7338
3137,3.5427
3138,11.0413
3139,17.2381
3141,26.6795
3142,11.1305
3143,0.4714
3144,1.0
3145,1.794
3146,8.9416
3147,0.0
3148,1.7772
3149,3.3581
3153,3.4071
3154,3.0087
3155,0.0
3156,14.2097
3157,0.0
3158,2.5291
3160,2.5166
3161,2.2361
3162,0.4792
3163,3.342
3165,2.0698
3166,1.1239
3167,3.602
3168,15.8406
3169,0.0
3170,1.5861
3171,1.0
3172,11.6322
3173,5.6444
3174,20.9317
3177,5.5902
3178,0.5666
3180,18.2064
3181,8.3737
3182,0.0
3183,6.0
3185,13.0286
3186,7.8351
3187,8.1385
3188,0.0
3189,2.4793
3191,4.9183
3193,7.5619
3195,2.228
3196,3.4139
3197,3.4247
3198,0.0
3199,7.3242
3200,12.4186
3201,1.3333
3202,0.0
3203,6.6916
3204,13.541
3205,9.299
3206,13.6371
3207,5.5322
3209,2.1922
3210,12.4774
3211,21.1256
3215,4.0
3216,2.3678
3217,0.0
3218,2.0031
3219,1.1902
3220,17.4416
3221,10.9118
3222,11.2495
3223,0.0
3224,2.8397
3225,4.5642
3226,0.0
3227,57.7453
3228,37.7855
3229,4.9602
3230,0.0
3231,19.8309
3232,0.0
3233,0.0
3236,21.5323
3237,4.0689
3238,38.7005
3240,41.396
3241,0.0
3242,4.2057
3243,8.7906
3244,3.8232
3245,0.0
3246,0.0
3248,13.4344
3249,0.0
3250,11.0602
3251,1.6524
3252,8.835
3253,3.1465
3254,18.8628
3255,4.9582
3256,25.5745
3257,12.5857
3259,4.124
3260,0.0
3261,19.4326
3263,0.0
3264,2.6032
3265,6.1134
3266,0.9428
3267,2.8682
3268,2.9749
3269,12.156
3270,0.0
3271,1.9615
3272,8.7947
3273,13.0855
3274,1.928
3275,16.3401
3276,2.7854
3277,0.0
3278,4.4926
3281,9.2959
3283,25.9549
3284,0.0
3287,2.7532
3288,11.8659
3289,0.0
3290,28.3287
3291,2.7782
3292,0.0
3293,9.251
3295,10.7446
3296,0.0
3297,3.5551
3298,5.6899
3299,6.9076
3300,6.3168
3301,12.1472
3303,2.9545
3304,2.4404
3305,20.1341
3306,0.0
3307,1.3147
3308,12.9987
3309,1.499
3310,0.0
3311,6.901
3312,4.1879
3313,12.276
3314,2.094
3315,1.0078
3316,17.0514
3317,7.4288
3318,2.3848
3319,9.4405
3320,3.2112
3321,5.9932
3322,0.0
3323,3.0
3324,3.2878
3325,2.7817
3327,13.9625
3330,0.5
3331,0.0
3333,0.0
3335,2.4594
3336,0.0
3337,4.8153
3338,0.0
3339,36.371
3340,9.972
3342,14.6705
3344,11.4993
3345,0.0
3346,2.3721
3347,10.8609
3349,1.1914
3350,51.7077
3351,29.5288
3352,7.1736
3353,2.0735
3354,0.0
3356,11.2268
3357,10.4318
3358,8.8926
3359,2.3819
3360,16.8749
3362,9.7616
3363,0.0
3364,0.0
3365,13.0135
3366,0.0
3367,1.3545
3369,6.8887
3370,1.3229
3371,0.0
3373,0.0
3374,32.6331
3377,33.915
3378,0.0
3379,0.0
3380,0.0
3381,22.5887
3382,1.1459
3383,5.6179
3385,7.5656
3386,6.8694
3387,0.0
3388,26.0
3389,8.5874
3390,35.3333
3391,9.4016
3392,3.1129
3394,0.0
3396,4.4091
3397,5.9506
3398,0.0
3400,0.0
3401,3.4183
3402,2.8284
3403,0.5
3404,0.0
3405,13.8359
3407,10.5005
3408,0.0
3409,19.222
3410,9.6597
3412,2.2912
3413,12.24
3414,7.0412
3415,3.9595
3416,0.0
3417,3.8621
3419,4.2426
3420,17.4642
3421,23.9741
3422,3.2302
3426,3.5054
3427,5.8556
3428,0.0
3429,0.866
3430,0.0
3431,22.704
3432,0.0
3433,2.506
3434,18.8981
3435,25.3153
3436,2.8762
3437,6.4571
3438,45.2704
3439,18.7612
3442,12.0237
3443,0.0
3444,3.4208
3445,6.685
3447,2.4779
3448,13.0921
3449,0.0
3451,2.3237
3453,1.5113
3454,0.4714
3456,2.9439
3457,8.1949
3458,5.7434
3459,0.8806
3460,2.0624
3462,0.0
3464,0.0
3465,0.0
3466,12.4323
3467,4.044
3468,6.9087
3469,0.0
3470,18.6951
3472,7.5
3473,4.8835
3474,6.6805
3476,0.0
3478,20.0371
3479,3.8868
3480,14.7542
3481,13.1629
3482,11.2178
3483,0.0
3486,14.9278
3487,14.8798
3488,5.2816
3489,0.0
3490,0.0
3491,0.0
3492,3.5
3493,0.0
3494,3.4167
3495,5.172
3496,2.8284
3497,0.0
3498,4.9711
3500,3.2396
3501,4.031
3502,21.0634
3503,1.5914
3504,72.6808
3506,24.603
3507,2.2588
3509,2.1105
3510,17.9961
3511,1.4391
3512,3.0714
3514,11.9255
3515,13.6594
3516,1.0
3517,3.0644
3518,0.9164
3519,0.0
3520,4.3571
3521,0.0
3522,24.9529
3523,11.9117
3524,12.0157
3525,3.8161
3526,3.0
3527,12.132
3528,0.0
3529,31.1727
3530,5.3197
3531,0.0
3532,4.0
3533,8.713
3534,0.0
3535,7.1912
3536,1.7731
3538,0.9428
3540,0.4899
3541,8.0113
3543,0.0
3545,22.5949
3546,7.0
3548,0.0
3549,23.6405
3550,24.2357
3551,9.1862
3552,0.0
3553,69.0238
3555,4.6682
3556,0.0
3557,1.8794
3558,0.0
3559,0.0
3560,36.8368
3561,8.2683
3562,1.663
3563,13.0207
3564,0.0
3565,2.6401
3566,3.1776
3567,8.3369
3568,0.9798
3569,0.0
3571,2.7836
3572,0.433
3573,10.3359
3574,0.0
3575,3.9024
3576,4.2276
3577,1.3226
3578,0.0
3579,2.3736
3580,10.4978
3581,3.6568
3582,10.1346
3583,53.662
3585,2.0097
3586,7.3978
3587,14.4046
3588,1.1662
3589,0.0
3590,0.0
3591,2.9155
3592,13.8244
3593,11.7928
3594,1.6571
3595,9.228
3596,0.0
3597,1.9276
3598,4.504
3599,2.9665
3600,2.0257
3601,12.3894
3602,8.9258
3603,8.8619
3604,8.386
3605,0.0
3606,15.0784
3607,1.6009
3608,3.006
3609,13.5713
3611,0.0
3612,7.5973
3613,3.7805
3614,17.4332
3615,2.0141
3616,1.7617
3617,0.0
3619,14.8497
3620,0.0
3621,0.0
3622,1.633
3623,0.0
3624,0.8
3625,5.0781
3626,2.32
3627,27.0186
3628,11.2937
3629,0.0
3630,13.2784
3631,5.6344
3633,2.0554
3634,5.2022
3635,6.9597
3636,33.9957
3637,11.1618
3638,3.5511
3639,5.5299
3640,4.2801
3641,2.814
3642,4.8738
3643,0.0
3644,0.0
3645,3.6332
3646,13.4181
3647,12.7941
3648,2.5413
3649,1.5312
3650,4.2426
3651,2.4638
3652,18.243
3653,15.2486
3655,0.4714
3656,5.0
3657,0.0
3658,0.0
3661,10.6736
3662,3.2499
3663,5.2197
3664,4.6351
3665,9.1692
3666,0.6455
3667,9.6227
3668,0.0
3669,12.3203
3670,6.5962
3671,0.0
3672,11.7774
3673,1.3873
3674,26.6004
3677,4.301
3678,7.2739
3679,14.1902
3680,6.8015
3681,5.0037
3682,8.9777
3683,2.2824
3684,10.9338
3685,1.5137
3686,0.0
3687,0.0
3688,0.0
3689,10.006
3690,36.2268
3691,6.2295
3692,1.454
3693,0.0
3694,14.1431
3695,0.9428
3696,3.8297
3697,0.0
3698,22.8289
3699,19.0535
3701,2.7135
3702,6.0999
3703,3.7076
3705,8.4853
3707,0.0
3708,7.4173
